Index," ""Eruption length (mins)""",Eruption wait (mins)
2,3.6,79
4,1.8,54
6,3.333,74
8,2.283,62
10,4.533,85
12,2.883,55
14,4.7,88
16,3.6,85
18,1.95,51
20,4.35,85
22,1.833,54
24,3.917,84
26,4.2,78
28,1.75,47
30,4.7,83
32,2.167,52
34,1.75,62
36,4.8,84
38,1.6,52
40,4.25,79
42,1.8,51
44,1.75,47
46,3.45,78
48,3.067,69
50,4.533,74
52,3.6,83
54,1.967,55
56,4.083,76
58,3.85,78
60,4.433,79
62,4.3,73
64,4.467,77
66,3.367,66
68,4.033,80
70,3.833,74
72,2.017,52
74,1.867,48
76,4.833,80
78,1.833,59
80,4.783,90
82,4.35,80
84,1.883,58
86,4.567,84
88,1.75,58
90,4.533,73
92,3.317,83
94,3.833,64
96,2.1,53
98,4.633,82
100,2,59
102,4.8,75
104,4.716,90
106,1.833,54
108,4.833,80
110,1.733,54
112,4.883,83
114,3.717,71
116,1.667,64
118,4.567,77
120,4.317,81
122,2.233,59
124,4.5,84
126,1.75,48
128,4.8,82
130,1.817,60
132,4.4,92
134,4.167,78
136,4.7,78
138,2.067,65
140,4.7,73
142,4.033,82
144,1.967,56
146,4.5,79
148,4,71
150,1.983,62
152,5.067,76
154,2.017,60
156,4.567,78
158,3.883,76
160,3.6,83
162,4.133,75
164,4.333,82
166,4.1,70
168,2.633,65
170,4.067,73
172,4.933,88
174,3.95,76
176,4.517,80
178,2.167,48
180,4,86
182,2.2,60
184,4.333,90
186,1.867,50
188,4.817,78
190,1.833,63
192,4.3,72
194,4.667,84
196,3.75,75
198,1.867,51
200,4.9,82
202,2.483,62
204,4.367,88
206,2.1,49
208,4.5,83
210,4.05,81
212,1.867,47
214,4.7,84
216,1.783,52
218,4.85,86
220,3.683,81
222,4.733,75
224,2.3,59
226,4.9,89
228,4.417,79
230,1.7,59
232,4.633,81
234,2.317,50
236,4.6,85
238,1.817,59
240,4.417,87
242,2.617,53
244,4.067,69
246,4.25,77
248,1.967,56
250,4.6,88
252,3.767,81
254,1.917,45
256,4.5,82
258,2.267,55
260,4.65,90
262,1.867,45
264,4.167,83
266,2.8,56
268,4.333,89
270,1.833,46
272,4.383,82
274,1.883,51
276,4.933,86
278,2.033,53
280,3.733,79
282,4.233,81
284,2.233,60
286,4.533,82
288,4.817,77
290,4.333,76
292,1.983,59
294,4.633,80
296,2.017,49
298,5.1,96
300,1.8,53
302,5.033,77
304,4,77
306,2.4,65
308,4.6,81
310,3.567,71
312,4,70
314,4.5,81
316,4.083,93
318,1.8,53
320,3.967,89
322,2.2,45
324,4.15,86
326,2,58
328,3.833,78
330,3.5,66
332,4.583,76
334,2.367,63
336,5,88
338,1.933,52
340,4.617,93
342,1.917,49
344,2.083,57
346,4.583,77
348,3.333,68
350,4.167,81
352,4.333,81
354,4.5,73
356,2.417,50
358,4,85
360,4.167,74
362,1.883,55
364,4.583,77
366,4.25,83
368,3.767,83
370,2.033,51
372,4.433,78
374,4.083,84
376,1.833,46
378,4.417,83
380,2.183,55
382,4.8,81
384,1.833,57
386,4.8,76
388,4.1,84
390,3.966,77
392,4.233,81
394,3.5,87
396,4.366,77
398,2.25,51
400,4.667,78
402,2.1,60
404,4.35,82
406,4.133,91
408,1.867,53
410,4.6,78
412,1.783,46
414,4.367,77
416,3.85,84
418,1.933,49
420,4.5,83
422,2.383,71
424,4.7,80
426,1.867,49
428,3.833,75
430,3.417,64
432,4.233,76
434,2.4,53
436,4.8,94
438,2,55
440,4.15,76
442,1.867,50
444,4.267,82
446,1.75,54
448,4.483,75
450,4,78
452,4.117,79
454,4.083,78
456,4.267,78
458,3.917,70
460,4.55,79
462,4.083,70
464,2.417,54
466,4.183,86
468,2.217,50
470,4.45,90
472,1.883,54
474,1.85,54
476,4.283,77
478,3.95,79
480,2.333,64
482,4.15,75
484,2.35,47
486,4.933,86
488,2.9,63
490,4.583,85
492,3.833,82
494,2.083,57
496,4.367,82
498,2.133,67
500,4.35,74
502,2.2,54
504,4.45,83
506,3.567,73
508,4.5,73
510,4.15,88
512,3.817,80
514,3.917,71
516,4.45,83
518,2,56
520,4.283,79
522,4.767,78
524,4.533,84
526,1.85,58
528,4.25,83
530,1.983,43
532,2.25,60
534,4.75,75
536,4.117,81
538,2.15,46
540,4.417,90
542,1.817,46
544,4.467,74
